Rank,Name,Tags,Rating
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,"tanjiro and hi friend accompani the hashira tengen uzui to an entertain district where tengen’ femal ninja agent were gather inform on a demon befor they suddenli disappeared. in order to investigate, tanjiro and the other disguis themselv as women to sneak in! koyoharugotoug action adventur fantasi shounen demon histor martial art orphan sibl swordplay base on a manga explicit violenc 2021 movi highestrank",4.6
2,Fruits Basket the Final Season,"the final arc of fruit basket. natsukitakaya drama fantasi romanc shoujo anim transform contemporari fantasi curs dysfunct famili mental ill orphan base on a manga emot abuse, matur themes, physic abuse, suicide, violence, domest abus 2021 miniseri highestrank",4.6
3,Mo Dao Zu Shi 3,the third season of mo dao zu shi. moxiangtongxiu fantasi ancient china chines anim cultiv xianxia base on a web novel 2021 miniseri highestrank,4.58
4,Fullmetal Alchemist: Brotherhood,"the foundat of alchemi is base on the law of equival exchange; you cannot produc someth from nothing. as such, alchemi is bound by one taboo - human transmutation. four year ago two young brothers, edward and alphons elric, broke thi taboo when they tri to resurrect their dead mother. dure the process al bodi disintegr and ed lost hi leg. in a desper attempt to prevent hi brother from disappear completely, ed sacrif one of hi arm so he could affix al soul to a suit of armor. when hi miss limb are replac by auto mail parts, ed bear the name of the fullmet alchemist - the youngest ever state alchemist and dog of the military. now, alongsid hi brother, ed use hi statu within the militari to attempt to find ani way that he can return their bodi back to their origin state. hiromuarakawa action adventur drama fantasi mysteri shounen conspiraci death of a love one militari sibl base on a manga anim abuse, matur themes, violence, domest abus 2009 longseri highestrank",4.58
5,Attack on Titan 3rd Season: Part II,"the battl to retak wall maria begin now! with eren’ new harden ability, the scout are confid they can seal the wall and take back shiganshina district. if they succeed, eren can final unlock the secret of the basement—and the world. but danger lie in wait as reiner, bertholdt, and the beast titan have plan of their own. could thi be humanity’ final battl for survival? hajimeisayama action fantasi horror shounen dark fantasi isol societi militari outsid world post-apocalypt base on a manga cannibalism, explicit violenc 2019 miniseri highestrank",4.57
6,Jujutsu Kaisen,"although yuji itadori look like your averag teenager, hi immens physic strength is someth to behold! everi sport club want him to join, but itadori would rather hang out with the school outcast in the occult research club. one day, the club manag to get their hand on a seal curs object. littl do they know the terror they’ll unleash when they break the seal… gegeakutami action horror shounen curs exorcist monster school life supernatur base on a manga explicit violenc 2020 courseri highestrank",4.56
7,Attack on Titan The Final Season: Part II,continu of\xa0attack on titan the final season. hajimeisayama action drama fantasi horror shounen dark fantasi militari war base on a manga 2022 movi highestrank,4.56
8,Attack on Titan The Final Season,"it been four year sinc the scout regiment reach the shoreline, and the world look differ now. thing are heat up as the fate of the scout regiment—and the peopl of paradis—ar determin at last. however, eren is missing. will he reappear befor age-old tension between marleyan and eldian result in the war of all wars? hajimeisayama action drama fantasi horror shounen dark fantasi militari war base on a manga explicit violence, matur themes, physic abuse, suicid 2020 courseri highestrank",4.55
9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,"tanjirou\xa0and the group have complet their rehabilit train at the butterfli mansion, and they arriv to their next mission on the mugen train, where over 40 peopl have disappear in a veri short period of time. tanjir and\xa0nezuko, along with\xa0zenitsu\xa0and\xa0inosuke, join one of the most power swordsmen within the demon slayer corps,\xa0flam hashira rengoku kyoujurou, to face the demon aboard the mugen train on track to despair. koyoharugotoug action drama fantasi shounen demon histor martial art orphan sibl swordplay train base on a manga matur themes, suicide, violenc 2020 movi highestrank",4.54
10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,"pick up where the second season ended, the boy prepar to final face off for the right to repres the prefectur in the volleybal nation championship. despit be known as “the fallen champions,” karasuno is determin to take down the powerhous that is the shiratorizawa high volleybal team. as hinata come closer to fulfil hi promis to defeat ushijima’ team, will the “flightless crows” final find their wing and soar abov the best school in the prefecture? haruichifurud shounen sport anim school club school life tournament volleybal base on a manga 2016 miniseri highestrank",4.53
